"rank","eff","conf","color"
351,279.4,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband","#A9A9A9"
352,158.26,"BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Infiniband","#A9A9A9"
354,120.56,"Power 750, Power7 3.86 GHz, 10GigE","#A9A9A9"
365,141,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband","#A9A9A9"
366,160,"NEC LX-2400 Cluster, Xeon X5550 2.66 Ghz, Infiniband","#2F4F4F"
367,645,"Hitachi SR16000 Model L2/128, Power6 4.7Ghz, Infiniband","#00CED1"
368,990,"Altix 4700 1.6 GHz","#008B8B"
370,317.82,"xSeries x3550M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
371,317.82,"xSeries x3550M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
372,418,"Cray XT4 QuadCore 2.1 GHz","#DC143C"
373,302.12,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
374,302.12,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
375,302.12,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
376,151.86,"BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Infiniband","#A9A9A9"
378,510,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE","#A9A9A9"
381,311.61,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet","#A9A9A9"
382,311.61,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet","#A9A9A9"
383,211.68,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#A9A9A9"
384,211.68,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#A9A9A9"
385,211.68,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#A9A9A9"
386,211.68,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#A9A9A9"
388,157.08,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","#A9A9A9"
389,157.08,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","#A9A9A9"
390,157.08,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","#A9A9A9"
393,314,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","#A9A9A9"
394,314,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","#A9A9A9"
395,187.89,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband","#A9A9A9"
401,308.07,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
402,308.07,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
403,598,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
408,295.2,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
409,295.2,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
410,295.2,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
422,244.24,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
424,248.03,"iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE","#A9A9A9"
425,248.03,"iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE","#A9A9A9"
427,286.47,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
428,286.47,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
431,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
432,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
433,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
434,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
435,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
436,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
437,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
438,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
439,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
440,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
441,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
442,285.74,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
444,246,"Altus 704 Cluster, 6C Opteron 8431 2.4 Ghz, Infiniband","#808080"
452,159.75,"iDataPlex DX360M3, Xeon 2.93, Infiniband","#A9A9A9"
453,159.75,"iDataPlex DX360M3, Xeon 2.93, Infiniband","#A9A9A9"
454,159.75,"iDataPlex DX360M3, Xeon 2.93, Infiniband","#A9A9A9"
455,159.75,"iDataPlex DX360M3, Xeon 2.93, Infiniband","#A9A9A9"
456,159.75,"iDataPlex DX360M3, Xeon 2.93, Infiniband","#A9A9A9"
457,159.75,"iDataPlex DX360M3, Xeon 2.93, Infiniband","#A9A9A9"
458,159.75,"iDataPlex DX360M3, Xeon 2.93, Infiniband","#A9A9A9"
460,283.19,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#A9A9A9"
461,283.19,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#A9A9A9"
